Word,Modal,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting
ABUSE,0,1,0,0,0,0,0,0
ABUSED,0,1,0,0,0,0,0,0
ABUSES,0,1,0,0,0,0,0,0
ABUSING,0,1,0,0,0,0,0,0
ABUSIVE,0,1,0,0,0,0,0,0
ABUSIVELY,0,1,0,0,0,0,0,0
ABUSIVENESS,0,1,0,0,0,0,0,0
ACCESSION,0,0,0,0,1,0,0,0
ACCESSIONS,0,0,0,0,1,0,0,0
ACCIDENT,0,1,0,0,0,0,0,0
ACCIDENTAL,0,1,0,0,0,0,0,0
ACCIDENTALLY,0,1,0,0,0,0,0,0
ACCIDENTS,0,1,0,0,0,0,0,0
ACCLAIMED,0,0,1,0,0,0,0,0
ACCOMPLISH,0,0,1,0,0,0,0,0
ACCOMPLISHED,0,0,1,0,0,0,0,0
ACCOMPLISHES,0,0,1,0,0,0,0,0
ACCOMPLISHING,0,0,1,0,0,0,0,0
ACCOMPLISHMENT,0,0,1,0,0,0,0,0
ACCOMPLISHMENTS,0,0,1,0,0,0,0,0
ACCUSATION,0,1,0,0,0,0,0,0
ACCUSATIONS,0,1,0,0,0,0,0,0
ACCUSE,0,1,0,0,0,0,0,0
ACCUSED,0,1,0,0,0,0,0,0
ACCUSES,0,1,0,0,0,0,0,0
ACCUSING,0,1,0,0,0,0,0,0
ACHIEVE,0,0,1,0,0,0,0,0
ACHIEVED,0,0,1,0,0,0,0,0
ACHIEVEMENT,0,0,1,0,0,0,0,0
ACHIEVEMENTS,0,0,1,0,0,0,0,0
ACHIEVES,0,0,1,0,0,0,0,0
ACHIEVING,0,0,1,0,0,0,0,0
ACQUIESCE,0,1,0,0,0,0,0,0
ACQUIESCED,0,1,0,0,0,0,0,0
ACQUIESCES,0,1,0,0,0,0,0,0
ACQUIESCING,0,1,0,0,0,0,0,0
ACQUIREES,0,0,0,0,1,0,0,0
ACQUIRORS,0,0,0,0,1,0,0,0
ACQUIT,0,1,0,0,1,0,0,0
ACQUITS,0,1,0,0,1,0,0,0
ACQUITTAL,0,1,0,0,1,0,0,0
ACQUITTALS,0,1,0,0,1,0,0,0
ACQUITTANCE,0,0,0,0,1,0,0,0
ACQUITTANCES,0,0,0,0,1,0,0,0
ACQUITTED,0,1,0,0,1,0,0,0
ACQUITTING,0,1,0,0,1,0,0,0
ADDENDUMS,0,0,0,0,1,0,0,0
ADEQUATELY,0,0,1,0,0,0,0,0
ADJOURN,0,0,0,0,1,0,0,0
ADJOURNED,0,0,0,0,1,0,0,0
ADJOURNING,0,0,0,0,1,0,0,0
ADJOURNMENT,0,0,0,0,1,0,0,0
ADJOURNMENTS,0,0,0,0,1,0,0,0
ADJOURNS,0,0,0,0,1,0,0,0
ADJUDGE,0,0,0,0,1,0,0,0
ADJUDGED,0,0,0,0,1,0,0,0
ADJUDGES,0,0,0,0,1,0,0,0
ADJUDGING,0,0,0,0,1,0,0,0
ADJUDICATE,0,0,0,0,1,0,0,0
ADJUDICATED,0,0,0,0,1,0,0,0
ADJUDICATES,0,0,0,0,1,0,0,0
ADJUDICATING,0,0,0,0,1,0,0,0
ADJUDICATION,0,0,0,0,1,0,0,0
ADJUDICATIONS,0,0,0,0,1,0,0,0
ADJUDICATIVE,0,0,0,0,1,0,0,0
ADJUDICATOR,0,0,0,0,1,0,0,0
ADJUDICATORS,0,0,0,0,1,0,0,0
ADJUDICATORY,0,0,0,0,1,0,0,0
ADMISSIBILITY,0,0,0,0,1,0,0,0
ADMISSIBLE,0,0,0,0,1,0,0,0
ADMISSIBLY,0,0,0,0,1,0,0,0
ADMISSION,0,0,0,0,1,0,0,0
ADMISSIONS,0,0,0,0,1,0,0,0
ADULTERATE,0,1,0,0,0,0,0,0
ADULTERATED,0,1,0,0,0,0,0,0
ADULTERATING,0,1,0,0,0,0,0,0
ADULTERATION,0,1,0,0,0,0,0,0
ADULTERATIONS,0,1,0,0,0,0,0,0
ADVANCEMENT,0,0,1,0,0,0,0,0
ADVANCEMENTS,0,0,1,0,0,0,0,0
ADVANCES,0,0,1,0,0,0,0,0
ADVANCING,0,0,1,0,0,0,0,0
ADVANTAGE,0,0,1,0,0,0,0,0
ADVANTAGED,0,0,1,0,0,0,0,0
ADVANTAGEOUS,0,0,1,0,0,0,0,0
ADVANTAGEOUSLY,0,0,1,0,0,0,0,0
ADVANTAGES,0,0,1,0,0,0,0,0
ADVERSARIAL,0,1,0,0,0,0,0,0
ADVERSARIES,0,1,0,0,0,0,0,0
ADVERSARY,0,1,0,0,0,0,0,0
ADVERSE,0,1,0,0,0,0,0,0
ADVERSELY,0,1,0,0,0,0,0,0
ADVERSITIES,0,1,0,0,0,0,0,0
ADVERSITY,0,1,0,0,0,0,0,0
AEGIS,0,0,0,0,0,0,1,0
AFFIDAVIT,0,0,0,0,1,0,0,0
AFFIDAVITS,0,0,0,0,1,0,0,0
AFFIRMANCE,0,0,0,0,1,0,0,0
AFFREIGHTMENT,0,0,0,0,1,0,0,0
AFOREDESCRIBED,0,0,0,0,1,0,0,0
AFOREMENTIONED,0,0,0,0,1,0,0,0
AFORESAID,0,0,0,0,1,0,0,0
AFORESTATED,0,0,0,0,1,0,0,0
AFTERMATH,0,1,0,0,0,0,0,0
AFTERMATHS,0,1,0,0,0,0,0,0
AGAINST,0,1,0,0,0,0,0,0
AGGRAVATE,0,1,0,0,0,0,0,0
AGGRAVATED,0,1,0,0,0,0,0,0
AGGRAVATES,0,1,0,0,0,0,0,0
AGGRAVATING,0,1,0,0,0,0,0,0
AGGRAVATION,0,1,0,0,0,0,0,0
AGGRAVATIONS,0,1,0,0,0,0,0,0
AGGRESSIVE,0,0,0,0,0,0,0,1
AGGRESSIVELY,0,0,0,0,0,0,0,1
AGGRESSIVENESS,0,0,0,0,0,0,0,1
AGGRIEVED,0,0,0,0,1,0,0,0
ALERTED,0,1,0,0,0,0,0,0
ALERTING,0,1,0,0,0,0,0,0
ALIENATE,0,1,0,0,0,0,0,0
ALIENATED,0,1,0,0,0,0,0,0
ALIENATES,0,1,0,0,0,0,0,0
ALIENATING,0,1,0,0,0,0,0,0
ALIENATION,0,1,0,0,0,0,0,0
ALIENATIONS,0,1,0,0,0,0,0,0
ALLEGATION,0,1,0,0,1,0,0,0
ALLEGATIONS,0,1,0,0,1,0,0,0
ALLEGE,0,1,0,0,1,0,0,0
ALLEGED,0,1,0,0,1,0,0,0
ALLEGEDLY,0,1,0,0,1,0,0,0
ALLEGES,0,1,0,0,1,0,0,0
ALLEGING,0,1,0,0,1,0,0,0
ALLIANCE,0,0,1,0,0,0,0,0
ALLIANCES,0,0,1,0,0,0,0,0
ALMOST,3,0,0,1,0,0,0,0
ALTERATION,0,0,0,1,0,0,0,0
ALTERATIONS,0,0,0,1,0,0,0,0
ALWAYS,1,0,0,0,0,0,0,0
AMBIGUITIES,0,0,0,1,0,0,0,0
AMBIGUITY,0,0,0,1,0,0,0,0
AMBIGUOUS,0,0,0,1,0,0,0,0
AMEND,0,0,0,0,1,0,0,0
AMENDABLE,0,0,0,0,1,0,0,0
AMENDATORY,0,0,0,0,1,0,0,0
AMENDED,0,0,0,0,1,0,0,0
AMENDING,0,0,0,0,1,0,0,0
AMENDMENT,0,0,0,0,1,0,0,0
AMENDMENTS,0,0,0,0,1,0,0,0
AMENDS,0,0,0,0,1,0,0,0
AMORPHOUS,0,0,0,0,0,0,1,0
ANNOY,0,1,0,0,0,0,0,0
ANNOYANCE,0,1,0,0,0,0,0,0
ANNOYANCES,0,1,0,0,0,0,0,0
ANNOYED,0,1,0,0,0,0,0,0
ANNOYING,0,1,0,0,0,0,0,0
ANNOYS,0,1,0,0,0,0,0,0
ANNUL,0,1,0,0,0,0,0,0
ANNULLED,0,1,0,0,0,0,0,0
ANNULLING,0,1,0,0,0,0,0,0
ANNULMENT,0,1,0,0,0,0,0,0
ANNULMENTS,0,1,0,0,0,0,0,0
ANNULS,0,1,0,0,0,0,0,0
ANOMALIES,0,1,0,1,0,0,0,0
ANOMALOUS,0,1,0,1,0,0,0,0
ANOMALOUSLY,0,1,0,1,0,0,0,0
ANOMALY,0,1,0,1,0,0,0,0
ANTECEDENT,0,0,0,0,1,0,0,0
ANTECEDENTS,0,0,0,0,1,0,0,0
ANTICIPATE,0,0,0,1,0,0,0,0
ANTICIPATED,0,0,0,1,0,0,0,0
ANTICIPATES,0,0,0,1,0,0,0,0
ANTICIPATING,0,0,0,1,0,0,0,0
ANTICIPATION,0,0,0,1,0,0,0,0
ANTICIPATIONS,0,0,0,1,0,0,0,0
ANTICIPATORY,0,0,0,0,0,0,1,0
ANTICOMPETITIVE,0,1,0,0,0,0,0,0
ANTICORRUPTION,0,0,0,0,1,0,0,0
ANTITRUST,0,1,0,0,1,0,0,0
ANYWISE,0,0,0,0,1,0,0,0
APPARENT,0,0,0,1,0,0,0,0
APPARENTLY,3,0,0,1,0,0,0,0
APPEAL,0,0,0,0,1,0,0,0
APPEALABLE,0,0,0,0,1,0,0,0
APPEALED,0,0,0,0,1,0,0,0
APPEALING,0,0,0,0,1,0,0,0
APPEALS,0,0,0,0,1,0,0,0
APPEAR,0,0,0,1,0,0,0,0
APPEARED,3,0,0,1,0,0,0,0
APPEARING,3,0,0,1,0,0,0,0
APPEARS,3,0,0,1,0,0,0,0
APPELLANT,0,0,0,0,1,0,0,0
APPELLANTS,0,0,0,0,1,0,0,0
APPELLATE,0,0,0,0,1,0,0,0
APPELLEES,0,0,0,0,1,0,0,0
APPERTAINING,0,0,0,0,0,0,1,0
APPOINTOR,0,0,0,0,1,0,0,0
APPROXIMATE,0,0,0,1,0,0,0,0
APPROXIMATED,0,0,0,1,0,0,0,0
APPROXIMATELY,0,0,0,1,0,0,0,0
APPROXIMATES,0,0,0,1,0,0,0,0
APPROXIMATING,0,0,0,1,0,0,0,0
APPROXIMATION,0,0,0,1,0,0,0,0
APPROXIMATIONS,0,0,0,1,0,0,0,0
APPURTENANCE,0,0,0,0,1,0,0,0
APPURTENANCES,0,0,0,0,1,0,0,0
APPURTENANT,0,0,0,0,1,0,0,0
ARBITRABILITY,0,0,0,0,1,0,0,0
ARBITRAL,0,0,0,0,1,0,0,0
ARBITRARILY,0,0,0,1,0,0,0,0
ARBITRARINESS,0,0,0,1,0,0,0,0
ARBITRARY,0,0,0,1,0,0,0,0
ARBITRATE,0,0,0,0,1,0,0,0
ARBITRATED,0,0,0,0,1,0,0,0
ARBITRATES,0,0,0,0,1,0,0,0
ARBITRATING,0,0,0,0,1,0,0,0
ARBITRATION,0,0,0,0,1,0,0,0
ARBITRATIONAL,0,0,0,0,1,0,0,0
ARBITRATIONS,0,0,0,0,1,0,0,0
ARBITRATIVE,0,0,0,0,1,0,0,0
ARBITRATOR,0,0,0,0,1,0,0,0
ARBITRATORS,0,0,0,0,1,0,0,0
ARGUE,0,1,0,0,0,0,0,0
ARGUED,0,1,0,0,0,0,0,0
ARGUING,0,1,0,0,0,0,0,0
ARGUMENT,0,1,0,0,0,0,0,0
ARGUMENTATIVE,0,1,0,0,0,0,0,0
ARGUMENTS,0,1,0,0,0,0,0,0
ARREARAGE,0,1,0,0,1,0,0,0
ARREARAGES,0,1,0,0,1,0,0,0
ARREARS,0,1,0,0,0,0,0,0
ARREST,0,1,0,0,0,0,0,0
ARRESTED,0,1,0,0,0,0,0,0
ARRESTS,0,1,0,0,0,0,0,0
ARTIFICIALLY,0,1,0,0,0,0,0,0
ASBESTOS,0,0,0,0,0,0,0,1
ASCENDANCY,0,0,0,0,1,0,0,0
ASCENDANT,0,0,0,0,1,0,0,0
ASCENDANTS,0,0,0,0,1,0,0,0
ASSAULT,0,1,0,0,0,0,0,0
ASSAULTED,0,1,0,0,0,0,0,0
ASSAULTING,0,1,0,0,0,0,0,0
ASSAULTS,0,1,0,0,0,0,0,0
ASSERTABLE,0,0,0,0,1,0,0,0
ASSERTIONS,0,1,0,0,0,0,0,0
ASSIGNATION,0,0,0,0,1,0,0,0
ASSIGNATIONS,0,0,0,0,1,0,0,0
ASSIMILATE,0,0,0,0,0,0,1,0
ASSIMILATING,0,0,0,0,0,0,1,0
ASSIMILATION,0,0,0,0,0,0,1,0
ASSUMABLE,0,0,0,0,1,0,0,0
ASSUME,0,0,0,1,0,0,0,0
ASSUMED,0,0,0,1,0,0,0,0
ASSUMES,0,0,0,1,0,0,0,0
ASSUMING,0,0,0,1,0,0,0,0
ASSUMPTION,0,0,0,1,0,0,0,0
ASSUMPTIONS,0,0,0,1,0,0,0,0
ASSURE,0,0,1,0,0,0,0,0
ASSURED,0,0,1,0,0,0,0,0
ASSURES,0,0,1,0,0,0,0,0
ASSURING,0,0,1,0,0,0,0,0
ATTAIN,0,0,1,0,0,0,0,0
ATTAINED,0,0,1,0,0,0,0,0
ATTAINING,0,0,1,0,0,0,0,0
ATTAINMENT,0,0,1,0,0,0,0,0
ATTAINMENTS,0,0,1,0,0,0,0,0
ATTAINS,0,0,1,0,0,0,0,0
ATTEST,0,0,0,0,1,0,0,0
ATTESTATION,0,0,0,0,1,0,0,0
ATTESTATIONS,0,0,0,0,1,0,0,0
ATTESTED,0,0,0,0,1,0,0,0
ATTESTING,0,0,0,0,1,0,0,0
ATTORN,0,0,0,0,1,0,0,0
ATTORNEY,0,0,0,0,1,0,0,0
ATTORNEYS,0,0,0,0,1,0,0,0
ATTORNMENT,0,0,0,0,1,0,0,0
ATTORNS,0,0,0,0,1,0,0,0
ATTRACTIVE,0,0,1,0,0,0,0,0
ATTRACTIVENESS,0,0,1,0,0,0,0,0
ATTRITION,0,1,0,0,0,0,0,0
AUGUST,0,0,0,0,0,0,0,1
AVERSELY,0,1,0,0,0,0,0,0
BACKDATING,0,1,0,0,0,0,0,0
BAD,0,1,0,0,0,0,0,0
BAIL,0,1,0,0,1,0,0,0
BAILED,0,0,0,0,1,0,0,0
BAILEE,0,0,0,0,1,0,0,0
BAILEES,0,0,0,0,1,0,0,0
BAILIFF,0,0,0,0,1,0,0,0
BAILIFFS,0,0,0,0,1,0,0,0
BAILMENT,0,0,0,0,1,0,0,0
BAILOUT,0,1,0,0,0,0,0,0
BALK,0,1,0,0,0,0,0,0
BALKED,0,1,0,0,0,0,0,0
BAN,0,0,0,0,0,0,0,1
BANKRUPT,0,1,0,0,0,0,0,0
BANKRUPTCIES,0,1,0,0,0,0,0,0
BANKRUPTCY,0,1,0,0,0,0,0,0
BANKRUPTED,0,1,0,0,0,0,0,0
BANKRUPTING,0,1,0,0,0,0,0,0
BANKRUPTS,0,1,0,0,0,0,0,0
BANS,0,1,0,0,0,0,0,0
BARRED,0,1,0,0,0,0,0,0
BARRIER,0,1,0,0,0,0,0,0
BARRIERS,0,1,0,0,0,0,0,0
BEAUTIFUL,0,0,1,0,0,0,0,0
BEAUTIFULLY,0,0,1,0,0,0,0,0
BELIEVE,0,0,0,1,0,0,0,0
BELIEVED,0,0,0,1,0,0,0,0
BELIEVES,0,0,0,1,0,0,0,0
BELIEVING,0,0,0,1,0,0,0,0
BENEFICIAL,0,0,1,0,0,0,0,0
BENEFICIALLY,0,0,1,0,0,0,0,0
BENEFICIATED,0,0,0,0,1,0,0,0
BENEFICIATION,0,0,0,0,1,0,0,0
BENEFIT,0,0,1,0,0,0,0,0
BENEFITED,0,0,1,0,0,0,0,0
BENEFITING,0,0,1,0,0,0,0,0
BENEFITTED,0,0,1,0,0,0,0,0
BENEFITTING,0,0,1,0,0,0,0,0
BEST,1,0,1,0,0,0,0,0
BETTER,0,0,1,0,0,0,0,0
BIFURCATED,0,0,0,0,0,0,1,0
BIFURCATION,0,0,0,0,0,0,1,0
BIOTERRORISM,0,0,0,0,0,0,0,1
BOLSTERED,0,0,1,0,0,0,0,0
BOLSTERING,0,0,1,0,0,0,0,0
BOLSTERS,0,0,1,0,0,0,0,0
BONA,0,0,0,0,1,0,0,0
BONAFIDE,0,0,0,0,1,0,0,0
BOOM,0,0,1,0,0,0,0,0
BOOMING,0,0,1,0,0,0,0,0
BOOST,0,0,1,0,0,0,0,0
BOOSTED,0,0,1,0,0,0,0,0
BOTTLENECK,0,1,0,0,0,0,0,0
BOTTLENECKS,0,1,0,0,0,0,0,0
BOUND,0,0,0,0,0,1,0,0
BOUNDED,0,0,0,0,0,1,0,0
BOYCOTT,0,1,0,0,0,0,0,0
BOYCOTTED,0,1,0,0,0,0,0,0
BOYCOTTING,0,1,0,0,0,0,0,0
BOYCOTTS,0,1,0,0,0,0,0,0
BREACH,0,1,0,0,1,0,0,0
BREACHED,0,1,0,0,1,0,0,0
BREACHES,0,1,0,0,1,0,0,0
BREACHING,0,1,0,0,1,0,0,0
BREAK,0,1,0,0,0,0,0,0
BREAKAGE,0,1,0,0,0,0,0,0
BREAKAGES,0,1,0,0,0,0,0,0
BREAKDOWN,0,1,0,0,0,0,0,0
BREAKDOWNS,0,1,0,0,0,0,0,0
BREAKING,0,1,0,0,0,0,0,0
BREAKS,0,1,0,0,0,0,0,0
BREAKTHROUGH,0,0,1,0,0,0,0,0
BREAKTHROUGHS,0,0,1,0,0,0,0,0
BRIBE,0,1,0,0,0,0,0,0
BRIBED,0,1,0,0,0,0,0,0
BRIBERIES,0,1,0,0,0,0,0,0
BRIBERY,0,1,0,0,0,0,0,0
BRIBES,0,1,0,0,0,0,0,0
BRIBING,0,1,0,0,0,0,0,0
BRIDGE,0,1,0,0,0,0,0,1
BRILLIANT,0,0,1,0,0,0,0,0
BROKEN,0,1,0,0,0,0,0,0
BURDEN,0,1,0,0,0,0,0,0
BURDENED,0,1,0,0,0,0,0,0
BURDENING,0,1,0,0,0,0,0,0
BURDENS,0,1,0,0,0,0,0,0
BURDENSOME,0,1,0,0,0,0,0,0
BURNED,0,1,0,0,0,0,0,0
CALAMITIES,0,1,0,0,0,0,0,0
CALAMITOUS,0,1,0,0,0,0,0,0
CALAMITY,0,1,0,0,0,0,0,0
CAN,2,0,0,0,0,0,0,0
CANCEL,0,1,0,0,0,0,0,0
CANCELED,0,1,0,0,0,0,0,0
CANCELING,0,1,0,0,0,0,0,0
CANCELLATION,0,1,0,0,0,0,0,0
CANCELLATIONS,0,1,0,0,0,0,0,0
CANCELLED,0,1,0,0,0,0,0,0
CANCELLING,0,1,0,0,0,0,0,0
CANCELS,0,1,0,0,0,0,0,0
CANCER,0,0,0,0,0,0,0,1
CARELESS,0,1,0,0,0,0,0,0
CARELESSLY,0,1,0,0,0,0,0,0
CARELESSNESS,0,1,0,0,0,0,0,0
CATASTROPHE,0,1,0,0,0,0,0,0
CATASTROPHES,0,1,0,0,0,0,0,0
CATASTROPHIC,0,1,0,0,0,0,0,0
CATASTROPHICALLY,0,1,0,0,0,0,0,0
CAUTION,0,1,0,0,0,0,0,0
CAUTIONARY,0,1,0,0,0,0,0,0
CAUTIONED,0,1,0,0,0,0,0,0
CAUTIONING,0,1,0,0,0,0,0,0
CAUTIONS,0,1,0,0,0,0,0,0
CAUTIOUS,0,0,0,1,0,0,0,0
CAUTIOUSLY,0,0,0,1,0,0,0,0
CAUTIOUSNESS,0,0,0,1,0,0,0,0
CEASE,0,1,0,0,0,0,0,0
CEASED,0,1,0,0,0,0,0,0
CEASES,0,1,0,0,0,0,0,0
CEASING,0,1,0,0,0,0,0,0
CEDANT,0,0,0,0,1,0,0,0
CEDANTS,0,0,0,0,1,0,0,0
CENSURE,0,1,0,0,0,0,0,0
CENSURED,0,1,0,0,0,0,0,0
CENSURES,0,1,0,0,0,0,0,0
CENSURING,0,1,0,0,0,0,0,0
CERTIORARI,0,0,0,0,1,0,0,0
CESSION,0,0,0,0,1,0,0,0
CESSIONS,0,0,0,0,0,0,1,0
CHALLENGE,0,1,0,0,0,0,0,0
CHALLENGED,0,1,0,0,0,0,0,0
CHALLENGES,0,1,0,0,0,0,0,0
CHALLENGING,0,1,0,0,0,0,0,0
CHAPTER,0,0,0,0,0,0,0,1
CHARGEOFFS,0,1,0,0,0,0,0,0
CHARITABLE,0,0,1,0,0,0,0,0
CHATTEL,0,0,0,0,1,0,0,0
CHATTELS,0,0,0,0,1,0,0,0
CHOATE,0,0,0,0,1,0,0,0
CIRCUMVENT,0,1,0,0,0,0,0,0
CIRCUMVENTED,0,1,0,0,0,0,0,0
CIRCUMVENTING,0,1,0,0,0,0,0,0
CIRCUMVENTION,0,1,0,0,0,0,0,0
CIRCUMVENTIONS,0,1,0,0,0,0,0,0
CIRCUMVENTS,0,1,0,0,0,0,0,0
CLAIM,0,0,0,0,1,0,0,0
CLAIMABLE,0,0,0,0,1,0,0,0
CLAIMANT,0,0,0,0,1,0,0,0
CLAIMANTS,0,0,0,0,1,0,0,0
CLAIMHOLDER,0,0,0,0,1,0,0,0
CLAIMING,0,1,0,0,0,0,0,0
CLAIMS,0,1,0,0,1,0,0,0
CLARIFICATION,0,0,0,1,0,0,0,0
CLARIFICATIONS,0,0,0,1,0,0,0,0
CLAWBACK,0,1,0,0,0,0,0,0
CLAWBACKS,0,0,0,0,1,0,0,0
CLEARLY,1,0,0,0,0,0,0,0
CLOSED,0,1,0,0,0,0,0,0
CLOSEOUT,0,1,0,0,0,0,0,0
CLOSEOUTS,0,1,0,0,0,0,0,0
CLOSING,0,1,0,0,0,0,0,0
CLOSINGS,0,1,0,0,0,0,0,0
CLOSURE,0,1,0,0,0,0,0,0
CLOSURES,0,1,0,0,0,0,0,0
CODEFENDANT,0,0,0,0,1,0,0,0
CODEFENDANTS,0,0,0,0,1,0,0,0
CODICIL,0,0,0,0,1,0,0,0
CODICILS,0,0,0,0,1,0,0,0
CODIFICATION,0,0,0,0,1,0,0,0
CODIFICATIONS,0,0,0,0,1,0,0,0
CODIFIED,0,0,0,0,1,0,0,0
CODIFIES,0,0,0,0,1,0,0,0
CODIFY,0,0,0,0,1,0,0,0
CODIFYING,0,0,0,0,1,0,0,0
COERCE,0,1,0,0,0,0,0,0
COERCED,0,1,0,0,0,0,0,0
COERCES,0,1,0,0,0,0,0,0
COERCING,0,1,0,0,0,0,0,0
COERCION,0,1,0,0,0,0,0,0
COERCIVE,0,1,0,0,0,0,0,0
COGNIZABLE,0,0,0,0,0,0,1,0
COLLABORATE,0,0,1,0,0,0,0,0
COLLABORATED,0,0,1,0,0,0,0,0
COLLABORATES,0,0,1,0,0,0,0,0
COLLABORATING,0,0,1,0,0,0,0,0
COLLABORATION,0,0,1,0,0,0,0,0
COLLABORATIONS,0,0,1,0,0,0,0,0
COLLABORATIVE,0,0,1,0,0,0,0,0
COLLABORATOR,0,0,1,0,0,0,0,0
COLLABORATORS,0,0,1,0,0,0,0,0
COLLAPSE,0,1,0,0,0,0,0,0
COLLAPSED,0,1,0,0,0,0,0,0
COLLAPSES,0,1,0,0,0,0,0,0
COLLAPSING,0,1,0,0,0,0,0,0
COLLISION,0,1,0,0,0,0,0,0
COLLISIONS,0,1,0,0,0,0,0,0
COLLUDE,0,1,0,0,0,0,0,0
COLLUDED,0,1,0,0,0,0,0,0
COLLUDES,0,1,0,0,0,0,0,0
COLLUDING,0,1,0,0,0,0,0,0
COLLUSION,0,1,0,0,1,0,0,0
COLLUSIONS,0,1,0,0,0,0,0,0
COLLUSIVE,0,1,0,0,0,0,0,0
COMMIT,0,0,0,0,0,1,0,0
COMMITMENT,0,0,0,0,0,1,0,0
COMMITMENTS,0,0,0,0,0,1,0,0
COMMITS,0,0,0,0,0,1,0,0
COMMITTED,0,0,0,0,0,1,0,0
COMMITTING,0,0,0,0,0,1,0,0
COMPEL,0,0,0,0,0,1,0,0
COMPELLED,0,0,0,0,0,1,0,0
COMPELLING,0,0,0,0,0,1,0,0
COMPELS,0,0,0,0,0,1,0,0
COMPENSATORY,0,0,0,0,1,0,0,0
COMPLAIN,0,1,0,0,0,0,0,0
COMPLAINANT,0,0,0,0,1,0,0,0
COMPLAINANTS,0,0,0,0,1,0,0,0
COMPLAINED,0,1,0,0,0,0,0,0
COMPLAINING,0,1,0,0,0,0,0,0
COMPLAINS,0,1,0,0,0,0,0,0
COMPLAINT,0,1,0,0,0,0,0,0
COMPLAINTS,0,1,0,0,0,0,0,0
COMPLICATE,0,1,0,0,0,0,0,0
COMPLICATED,0,1,0,0,0,0,0,0
COMPLICATES,0,1,0,0,0,0,0,0
COMPLICATING,0,1,0,0,0,0,0,0
COMPLICATION,0,1,0,0,0,0,0,0
COMPLICATIONS,0,1,0,0,0,0,0,0
COMPLIMENT,0,0,1,0,0,0,0,0
COMPLIMENTARY,0,0,1,0,0,0,0,0
COMPLIMENTED,0,0,1,0,0,0,0,0
COMPLIMENTING,0,0,1,0,0,0,0,0
COMPLIMENTS,0,0,1,0,0,0,0,0
COMPLY,0,0,0,0,0,1,0,0
COMPULSION,0,1,0,0,0,1,0,0
COMPULSORY,0,0,0,0,0,1,0,0
CONCEALED,0,1,0,0,0,0,0,0
CONCEALING,0,1,0,0,0,0,0,0
CONCEDE,0,1,0,0,0,0,0,0
CONCEDED,0,1,0,0,0,0,0,0
CONCEDES,0,1,0,0,0,0,0,0
CONCEDING,0,1,0,0,0,0,0,0
CONCEIVABLE,3,0,0,1,0,0,0,0
CONCEIVABLY,0,0,0,1,0,0,0,0
CONCERN,0,1,0,0,0,0,0,0
CONCERNED,0,1,0,0,0,0,0,0
CONCERNING,0,0,0,0,0,0,0,1
CONCERNS,0,1,0,0,0,0,0,0
CONCILIATING,0,1,0,0,0,0,0,0
CONCILIATION,0,1,0,0,0,0,0,0
CONCILIATIONS,0,1,0,0,0,0,0,0
