,link,headline,summary,date
2140,http://query.nytimes.com/gst/fullpage.html?res=9C00E2DF1430F93BA25752C0A9649D8B63,What's On Today,"10 P.M. (BBC America) MISTRESSES This soap opera about four women in Bristol, England, balancing friendship and extramarital intrigue, left American viewers dangling when Season 2 wrapped in May 2009. Now it returns for a four-episode finale. When last we saw the girlfriends, Katie (Sarah Parish), the doctor who helped her terminally ill married lover commit suicide in Season 1 (and then went on to have an affair with his son and then with an old, also-married flame), was about to find out if her latest beau would sweep her off to Australia in an act of forgiveness. Trudi (Sharon Small), who thought her husband had died in the terror attacks of Sept. 11 and discovered that he was in fact still alive, had gotten married to a man who also wasn't what he seemed. Jessica (Shelley Conn, above), a pregnant event planner in an open marriage, learned that her spouse had decided to be monogamous. Or so he said. And Siobhan (Orla Brady) was relegated to single-mother status after struggling with infertility in her marriage, then getting pregnant by a colleague -- which sent her husband packing. In this Season 3 premiere the women are summoned to Katie's house, where their icy demeanor suggests that they are friends no more. Joanna Lumley joins the cast as Vivienne, Katie's imperious mother. 1 P.M. (HBO Signature) SOMETHING'S GOTTA GIVE (2003) In this double bill from the director Nancy Meyers, a music executive in his 60s (Jack Nicholson) with a fondness for young women finds the rug pulled out from under him when he falls for the mother (Diane Keaton, above) of a woman he's dating (Amanda Peet). Writing in The New York Times, A. O. Scott said that Mr. Nicholson and Ms. Keaton sparred ''with the freedom of professionals with nothing left to prove, and Mr. Nicholson has the gentlemanly grace to step aside and let Ms. Keaton claim the movie.'' He added, ''She in turn brings out the best in everyone around her.'' At 3:15, in ''It's Complicated,'' Meryl Streep plays Jane Adler, a successful California restaurateur who is about to settle into life as an empty nester when she is blindsided by advances from her ex-husband (Alec Baldwin), who had left her a decade earlier for a pretty young thing (Lake Bell). Steve Martin is thrown into the mix as the architect overseeing the renovation of Jane's house, and he is not without his own charms. The truth, Manohla Dargis wrote in The Times, is ''that everyone needs a little coddling, which could be the key to Ms. Meyers's peculiar talent: She pampers her audience shamelessly.''",
2267,http://query.nytimes.com/gst/fullpage.html?res=9C00E1DD1430F932A2575BC0A9679D8B63,Parcells Returns to a Familiar Role,"Bill Parcells was hired by ESPN as an N.F.L. studio analyst on Wednesday. Again. Parcells's roster of coaching and TV jobs is nearly as long as the list of game shows hosted by Wink Martindale. The ex-Giants, ex-Patriots, ex-Jets, ex-Cowboys coach and former executive vice president of the Dolphins has slotted network jobs into his coaching hiatuses since leaving the Giants in 1991.",
2259,http://query.nytimes.com/gst/fullpage.html?res=9404E1DC113DF934A15751C1A9679D8B63,What's On Today,"9 P.M. (CBS) THE 34TH ANNUAL KENNEDY CENTER HONORS Neil Diamond, Meryl Streep, Yo-Yo Ma (above, from left), Barbara Cook and Sonny Rollins are celebrated for their contributions to American culture by President Obama, the first lady and a roster of the honorees' peers at this program taped on Dec. 4 in Washington. Emily Blunt, Matthew Broderick, Glenn Close, Ravi Coltrane, Bill Cosby, Robert De Niro, Benny Golson, Herbie Hancock, Anne Hathaway, Kevin Kline, John Lithgow, Patti LuPone, Audra McDonald, Sarah Jessica Parker, James Taylor and Stanley Tucci offer tributes. 4:20 P.M. (Starz) HOW DO YOU KNOW (2010) Reese Witherspoon taps into her intimidating side to play Lisa, a 31-year-old softball star whose world-class aspirations have been dealt a huge blow. Owen Wilson is Matty, the professional pitcher whose spell she falls under and who thinks he may be ready to give commitment a try. Then George (Paul Rudd) enters Lisa's life, first as a dud of a blind date, then as a friend whose father-cum-boss, Charles (Jack Nicholson), isn't all that unhappy about letting his son take the fall for his own financial misdeeds. Now Lisa needs to decide. Writing in The New York Times, Manohla Dargis said that this romantic comedy from James L. Brooks was ''so wan and disconnected to anything that feels like real life or, just as good, a screwball interpretation of it that it's hard to know what Mr. Brooks was really after, other than passing the time with some talented movie people.''",
2253,http://query.nytimes.com/gst/fullpage.html?res=9803E1DA1130F936A35750C0A9679D8B63,CHIRKINIAN DIES AT 84,"Frank Chirkinian, the longtime golf producer for CBS who helped turn the Masters into one of the most watched events in sports television, died Friday at age 84. Chirkinian died at his home in North Palm Beach, Fla., after a long bout with lung cancer, his son said.",
2250,http://query.nytimes.com/gst/fullpage.html?res=940DE0DF123BF937A25751C1A9679D8B63,What's On Today,"9:30 P.M. (ABC) BARBARA WALTERS PRESENTS THE 10 MOST FASCINATING PEOPLE OF 2011 This 90-minute program features interviews with those who made headlines in 2011, including Donald Trump, who has inserted himself into the Republican presidential nomination contest, and Derek Jeter of the Yankees, who reached 3,000 career hits in July. Ms. Walters, above with Herman Cain, also interviews Jesse Tyler Ferguson and Eric Stonestreet, who play a gay couple on the sitcom ''Modern Family,'' and Simon Cowell of ''The X Factor.'' 11:20 A.M. (Sundance) BLUE BLOOD (2006) For more than a century, the Oxford and Cambridge varsity boxing match has embodied a university rivalry at its most visceral. This documentary, directed by Stevan Riley, follows novice fighters who donned the Oxford blue in 2005.",
2247,http://query.nytimes.com/gst/fullpage.html?res=9900E1DD1431F934A3575BC0A9679D8B63,Alan Mulally Brings E.V. To 'Letterman',"Alan Mulally, the Ford Motor Company president and chief executive, took his pitch for the electric car to late-night television just after midnight on Thursday, with an appearance on ''The Late Show With David Letterman'' on CBS. Introduced by his uncharacteristically effusive host as a ''hero'' and the man ''responsible for rescuing the Ford Motor Company from the brink of bankruptcy,'' Mr. Mulally took his seat with a smile and a wave to the audience and, beyond it, the country Mr. Mulally hoped to sell on the Focus Electric, a purely electric compact car due in showrooms in 2012.",
2240,http://query.nytimes.com/gst/fullpage.html?res=9C06E2D71231F935A15751C0A9649D8B63,Pakistan Is Razing House Where Bin Laden Lived,"ISLAMABAD -- The Pakistani authorities moved on Saturday to demolish the house where Osama bin Laden died at the hands of Navy SEALs last May, erasing a three-story building that had acquired a painful symbolism for Pakistan's powerful military, which was badly embarrassed by the American raid. Working by floodlight, heavy machinery operators broke through the tall perimeter wall of the 3,000 square-meter compound in Abbottabad, 35 miles north of Islamabad, after dark on Saturday. Hours later, they started to knock down the main house where Bin Laden had lived with his family and three smaller buildings.",
2239,http://query.nytimes.com/gst/fullpage.html?res=9C05E0D9143BF93AA35751C0A9679D8B63,Corrections,"A report in the ''Arts, Briefly'' column on Tuesday about the Nielsen estimates of viewers of various television programs on Sunday night described the episode of ''60 Minutes'' on CBS incorrectly. It was a rerun, not a new edition.",
2223,http://query.nytimes.com/gst/fullpage.html?res=9C07E3D8113EF934A25750C0A9679D8B63,Original Songs Help 'Glee' With Young Viewers,"The singers of ''Glee'' performed original songs for the first time on Tuesday as that hit musical-comedy on Fox topped the ratings on the night with the highest results among adults 18 to 49, according to Nielsen's estimates. Although Fox led the night over all in that age group, the 10.8 million total viewers for ''Glee'' at 8 p.m. was fewer than the 12.5 million who watched reruns of CBS's procedurals ''NCIS'' and ''NCIS: Los Angeles'' at 8 and 9.",
2217,http://query.nytimes.com/gst/fullpage.html?res=9D02E5DC1F30F933A25754C0A9679D8B63,What's On Sunday,"8 P.M. (OWN) SEASON 25: OPRAH BEHIND THE SCENES Fans of Oprah Winfrey's long-running talk show already know how it ends, but now they can watch how Ms. Winfrey tried to spoil the surprises that the producers had planned for the show's last few episodes. At 9, Sarah Ferguson, the Duchess of York, goes on a 26-mile journey through northern Canada in ''Finding Sarah.'' And at 10, in ''Ryan and Tatum: The O'Neals'' (both are above), Tatum O' Neal goes with her father to a screening of ''Paper Moon'' at the Palm Springs Film Festival and remembers her mother, Joanna Moore, who died in 1997. 9 A.M. (CNN) STATE OF THE UNION WITH CANDY CROWLEY Representatives Chris Van Hollen, Democrat of Maryland, and Kevin McCarthy, Republican of California, who is the majority whip, will discuss the negotiations over the national debt ceiling. Rick Santorum, a Republican presidential candidate and a former senator from Pennsylvania, will speak about the economy. James Garvin, chief scientist at NASA's Goddard Space Flight Center, will talk about the future of space exploration.",
2216,http://query.nytimes.com/gst/fullpage.html?res=9804EED8113FF936A35752C0A9649D8B63,"If Disney Owns It, Comcast Will Soon Be Streaming It","1/5/12 | Updated In a deal that represents billions of dollars in revenue for the Walt Disney Company, the entertainment giant and Comcast said Wednesday that they had reached a decade-long distribution agreement covering all of Disney's television content, including streaming for iPads and other devices. The unusually long-term agreement provides a window into the future of television viewing and how its content will be consumed. Comcast, the nation's largest cable provider, will gain the rights to provide the Disney Channel, ESPN, Disney XD, ABC Family and the ABC broadcast network, among other Disney-owned services, to subscribers wherever they want to watch.",
2197,http://query.nytimes.com/gst/fullpage.html?res=9C0CE0D6153EF930A25750C0A9679D8B63,Corrections,"An obituary last Sunday about Frank Chirkinian, the executive producer for CBS's coverage of the Masters golf tournament for 38 years, referred incorrectly to his survivors. He was divorced at the time of his death. He was not married to Mary Jane Chirkinian, who was the second of his three wives. And his son, Frank Jr., was from his first marriage, not from his marriage to Mary Jane.",
2194,http://query.nytimes.com/gst/fullpage.html?res=9503E0DD1E3EF930A3575BC0A9679D8B63,"Maddow Extends Contract, And MSNBC Keeps Its Star","4:57 p.m. | Updated | LOS ANGELES-- MSNBC said Tuesday that it had signed its top star, Rachel Maddow, to a new multi-year contract, cementing her position at the cable news channel for several years. The new contract comes a little more than six months after Keith Olbermann hastily departed MSNBC, shaking up the channel's prime time lineup. Mr. Olbermann, the 8 p.m. host, had been the top draw for viewers; now the top draw is Ms. Maddow, the 9 p.m. host, a protege of Mr. Olbermann who started hosting her show two months before the presidential election in 2008.",
2189,http://query.nytimes.com/gst/fullpage.html?res=9905E2DB1138F931A15757C0A9679D8B63,Poll Finds Lack of Passion for '12 Republican Field,"With less than a year to go before the Iowa caucuses, Republican voters have yet to form strong opinions about most of their potential candidates for president in 2012, according to the latest New York Times/CBS News poll. Only those possible contenders who regularly appear on television -- or have run before -- are well known enough to elicit significant views from their fellow Republicans. And of that group, only former Gov. Mike Huckabee of Arkansas and former Gov. Sarah Palin of Alaska are viewed favorably by more than half of the Republican electorate.",
2187,http://query.nytimes.com/gst/fullpage.html?res=9500E2DD1231F930A15750C0A9679D8B63,For Lease,$42/SQUARE FOOT $1.08 million approximate annual rent,
2177,http://query.nytimes.com/gst/fullpage.html?res=9A01E1D8103EF932A25752C0A9649D8B63,What's On Today,"8 P.M. (13, 49) KANGAROO MOB In the last 50 years, the population of eastern gray kangaroos around Canberra, the capital of Australia, has multiplied from a few hundred to tens of thousands. Forced to search for food beyond the city's drought-stricken hills, the hungry creatures have moved into urban territory, dining on parkland and lawns -- and dying by the thousands in run-ins with cars. That has led the government to reduce herds through extermination, prompting an emotional backlash. This ''Nature'' episode follows a gang of street-wise kangaroos to reveal how they survive in the city. Among them are Black Spot, above, at more than 6 feet tall the mob's dominant male and the father of most of the joeys in his group, and Madge, who teaches her son Sonny about survival among humans while carrying a nursing joey named Alice in her pouch. The program also ponders the prospect of relocating kangaroo herds or controlling their numbers through forced contraception. 11 A.M. (MoreMax) OUT OF AFRICA (1985) Meryl Streep earned her sixth best-actress Oscar nomination as the Danish writer Karen Blixen, who later published under the name Isak Dinesen, in this sweeping drama about her life on a coffee plantation in British East Africa, now Kenya, for which Sydney Pollack won for best director; the film won best picture. Klaus Maria Brandauer was also nominated for his role as Baron Bror Blixen, her Swedish-born cousin and husband. Robert Redford plays Denys Finch Hatton, the love of her life.",
